permeability
testname,permeability
sample,ss
samplediameter,7.2
thikness,1
fluidname,Water
fluidvalue,34.7
lotno,ss
duration,0 min:14 sec
durationsecond,14
testtime,13:36:05
testdate,28/10/2020
customerid,N0048
indistry,Non-woven & Paper
application,Aeronautical
materialclassification,Fibrous
splate,Large
30lpm,0.03092
80lpm,0.09553
160lpm,0.16014
30lpmcase,FFP3
30lpmresult,Fail
80lpmcase,FFP3
80lpmresult,Fail
160lpmcase,FFP1
160lpmresult,Fail
testtype,Inhalation
dfloworiginal,0.0,4.984613819587498,1578.1389079626663
dpressureoriginal,0.0,0.002508015564202335,0.09521607324330511
dflow,4.984613819587501,1578.1389079626663
dpressure,0.002508015564202335,0.09521607324330511
darcy,24892.87359350806,207591.08751981307
darcy avg,207591.09
pg1value,100
pg2value,100
pg1offset,0.0
pg2offset,0.0
frazier,240.40177
gurley,0.0339
gurleyflow,2982.89
frazierflow,271.26
frazier05inch,14.44013
frazier10inch,240.40177401835916
flow05inch,271.26041893081765
flow10inch,5053.098062687718
